TRI_FACILITY_ID,ENVIRONMENTAL_MEDIUM,TOTAL_RELEASE,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,PREF_LATITUDE,PREF_LONGITUDE
7521WRDMXL331NA,AIR FUG,50.0676,REDI-MIX - SOUTH DALLAS,3301 NATIONAL ST,DALLAS,DALLAS,TX,,
75239SHLND8201S,AIR FUG,133,VERSUM MATERIALS US LLC,8201 S CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,32.705961,96.749024
75220RYLCH2851R,AIR FUG,15,ROYAL CHEMICAL CO,2851 REWARD LN,DALLAS,DALLAS,TX,,
75212MDNST4020L,AIR STACK,4.3,KELVION PRODUCTS INC. - DALLAS,4020 LAREUNION PKWY SUITE 110,DALLAS,DALLAS,TX,32.770278,96.885
75229CCMFG2624J,AIR STACK,.0084,CUSTOM CRETE - JOE FIELD,2624 JOE FIELD RD,DALLAS,DALLAS,TX,,
75243RLQDL13546,AIR STACK,19.57,AIR LIQUIDE ELECTRONICS U.S. LP,13546 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
75229GHHNS2108J,AIR STACK,710,HENSLEY INDUSTRIES INC,2108 JOE FIELD RD,DALLAS,DALLAS,TX,32.883333,96.908333
7522WLTTMR1362B,AIR STACK,.048,HOLCIM-SOR INC. - DALLAS RM,10362 BICKHAM,DALLAS,DALLAS,TX,,
75220RYLCH2851R,AIR STACK,20,ROYAL CHEMICAL CO,2851 REWARD LN,DALLAS,DALLAS,TX,,
75243TXSNS13500,AIR STACK,27,TEXAS INSTRUMENTS INC,13500 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,32.929167,96.7625
7522WTXSPN1615S,WATER,.228,TXI-SPANGLER CTM,10615 SPANGLER RD,DALLAS,DALLAS,TX,,
75243TXSNS13500,AIR FUG,819.2,TEXAS INSTRUMENTS INC,13500 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,32.929167,96.7625
75243DRSNF13532,AIR FUG,5,DRS NIS LLC,13532 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
75243RLQDL13546,AIR FUG,1092,AIR LIQUIDE ELECTRONICS U.S. LP,13546 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
75235JNSBL2728E,AIR FUG,1243.8,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
