GEOID,NAME,variable,estimate,moe
0181720,"Wetumpka city, Alabama",B01003_001,7129,21
0129032,"Garden City town, Alabama",B01003_001,598,185
0179272,"Vredenburgh town, Alabama",B01003_001,140,93
0183664,"Woodville town, Alabama",B01003_001,1053,341
0125240,"Fairhope city, Alabama",B01003_001,22605,34
0145784,"Madison city, Alabama",B01003_001,56967,59
0109808,"Brookwood town, Alabama",B01003_001,2420,489
0130880,"Goshen town, Alabama",B01003_001,447,215
0133904,"Heath town, Alabama",B01003_001,264,136
0164656,"Ridgeville town, Alabama",B01003_001,155,98
0171040,"Slocomb city, Alabama",B01003_001,1860,387
0151264,"Mooresville town, Alabama",B01003_001,93,62
0159640,"Piedmont city, Alabama",B01003_001,4761,19
0148808,"Millport town, Alabama",B01003_001,1288,466
0101756,"Anderson town, Alabama",B01003_001,241,91
0176632,"Toxey town, Alabama",B01003_001,165,93
0137096,"Hurtsboro town, Alabama",B01003_001,506,220
0105980,"Bessemer city, Alabama",B01003_001,25890,43
0102428,"Ariton town, Alabama",B01003_001,795,226
0103676,"Baileyton town, Alabama",B01003_001,982,332
0148064,"Mentone town, Alabama",B01003_001,342,106
0157240,"Orrville town, Alabama",B01003_001,151,65
0153784,"Newbern town, Alabama",B01003_001,310,155
0129560,"Georgiana town, Alabama",B01003_001,1423,376
0129608,"Geraldine town, Alabama",B01003_001,1122,316
0109016,"Brantley town, Alabama",B01003_001,927,231
0106460,"Billingsley town, Alabama",B01003_001,64,28
0114104,"Chelsea city, Alabama",B01003_001,15201,30
0126992,"Foley city, Alabama",B01003_001,21113,27
0112040,"Cardiff town, Alabama",B01003_001,26,19
0128696,"Gadsden city, Alabama",B01003_001,33881,32
0128768,"Gainesville town, Alabama",B01003_001,276,165
0112160,"Carolina town, Alabama",B01003_001,279,101
0137864,"Irondale city, Alabama",B01003_001,13455,42
0156400,"Odenville city, Alabama",B01003_001,4873,26
0164776,"River Falls town, Alabama",B01003_001,500,225
0105140,"Belgreen CDP, Alabama",B01003_001,30,34
0145208,"McDonald Chapel CDP, Alabama",B01003_001,686,517
0169978,"Shoal Creek CDP, Alabama",B01003_001,1171,254
0134490,"Highland Lakes CDP, Alabama",B01003_001,5628,890
0139064,"Joppa CDP, Alabama",B01003_001,378,258
0176920,"Troy city, Alabama",B01003_001,17757,44
0161536,"Pollard town, Alabama",B01003_001,110,59
0179488,"Waldo town, Alabama",B01003_001,294,115
0111680,"Camp Hill town, Alabama",B01003_001,1321,408
0119816,"Daviston town, Alabama",B01003_001,245,126
0134816,"Hillsboro town, Alabama",B01003_001,559,154
0102956,"Athens city, Alabama",B01003_001,26179,39
0123488,"Elkmont town, Alabama",B01003_001,321,122
0158896,"Pell City city, Alabama",B01003_001,13148,23
0108104,"Boligee town, Alabama",B01003_001,271,163
0102836,"Ashford town, Alabama",B01003_001,2476,238
0135632,"Hollywood town, Alabama",B01003_001,967,235
0180928,"West Blocton town, Alabama",B01003_001,1561,416
0132416,"Guntersville city, Alabama",B01003_001,8644,41
0134024,"Helena city, Alabama",B01003_001,21036,41
0135896,"Hoover city, Alabama",B01003_001,91995,97
0141968,"Leeds city, Alabama",B01003_001,12292,507
0155152,"North Johns town, Alabama",B01003_001,144,84
0178552,"Vestavia Hills city, Alabama",B01003_001,38600,120
0153400,"Nauvoo town, Alabama",B01003_001,168,108
0175936,"Thomaston town, Alabama",B01003_001,377,116
0100676,"Akron town, Alabama",B01003_001,310,174
0104948,"Beaverton town, Alabama",B01003_001,187,80
0120392,"Detroit town, Alabama",B01003_001,300,138
0104900,"Beatrice town, Alabama",B01003_001,175,90
0112304,"Carrollton town, Alabama",B01003_001,1043,238
0145640,"McMullen town, Alabama",B01003_001,17,21
0129392,"Geiger town, Alabama",B01003_001,286,131
0170704,"Sipsey town, Alabama",B01003_001,216,124
0145472,"McIntosh town, Alabama",B01003_001,315,163
0148832,"Millry town, Alabama",B01003_001,563,186
0133712,"Hayneville town, Alabama",B01003_001,900,328
0116240,"Coffee Springs town, Alabama",B01003_001,196,106
0133424,"Hartford city, Alabama",B01003_001,2660,18
0178204,"Valley city, Alabama",B01003_001,10442,24
0143744,"Loachapoka town, Alabama",B01003_001,227,89
0100820,"Alabaster city, Alabama",B01003_001,33417,123
0116768,"Columbiana city, Alabama",B01003_001,4552,38
0144344,"Louisville town, Alabama",B01003_001,612,198
0168160,"Saraland city, Alabama",B01003_001,16109,25
0148712,"Millbrook city, Alabama",B01003_001,16631,254
0130640,"Goodwater town, Alabama",B01003_001,1117,274
0119216,"Cusseta town, Alabama",B01003_001,140,91
0133448,"Hartselle city, Alabama",B01003_001,15414,41
0155992,"Oakman town, Alabama",B01003_001,898,278
0153256,"Napier Field town, Alabama",B01003_001,430,117
0151000,"Montgomery city, Alabama",B01003_001,199819,82
0123032,"Edgewater CDP, Alabama",B01003_001,793,446
0129704,"Gilbertown town, Alabama",B01003_001,809,256
0179344,"Wadley town, Alabama",B01003_001,950,160
0118976,"Cullman city, Alabama",B01003_001,18434,30
0157048,"Opelika city, Alabama",B01003_001,31361,29
0170536,"Silverhill town, Alabama",B01003_001,711,228
0160372,"Pine Ridge town, Alabama",B01003_001,635,331
0153472,"Needham town, Alabama",B01003_001,89,65
0119912,"Dayton town, Alabama",B01003_001,67,94
0130760,"Gordon town, Alabama",B01003_001,356,133
0100100,"Abanda CDP, Alabama",B01003_001,335,239
0172408,"Spring Garden CDP, Alabama",B01003_001,140,129
0169672,"Shelby CDP, Alabama",B01003_001,799,293
0172672,"Spruce Pine CDP, Alabama",B01003_001,109,72
0128408,"Fruitdale CDP, Alabama",B01003_001,121,105
0178120,"Uriah CDP, Alabama",B01003_001,397,268
0125216,"Fairford CDP, Alabama",B01003_001,187,172
0124280,"Equality CDP, Alabama",B01003_001,107,78
0153208,"Nanafalia CDP, Alabama",B01003_001,23,17
0124616,"Eunola CDP, Alabama",B01003_001,129,101
0121952,"Dutton town, Alabama",B01003_001,451,163
0132704,"Haleyville city, Alabama",B01003_001,4339,70
0148052,"Memphis town, Alabama",B01003_001,23,19
0157696,"Paint Rock town, Alabama",B01003_001,208,78
0131384,"Graysville city, Alabama",B01003_001,2700,588
0136448,"Hueytown city, Alabama",B01003_001,16655,33
0120104,"Decatur city, Alabama",B01003_001,57525,89
0153376,"Natural Bridge town, Alabama",B01003_001,21,15
0125816,"Faunsdale town, Alabama",B01003_001,136,123
0124472,"Ethelsville town, Alabama",B01003_001,85,56
0155848,"Oak Hill town, Alabama",B01003_001,19,17
0123872,"Emelle town, Alabama",B01003_001,74,87
0114008,"Chatom town, Alabama",B01003_001,702,203
0181504,"Westover town, Alabama",B01003_001,2404,497
0136088,"Horn Hill town, Alabama",B01003_001,251,100
0128312,"Frisco City town, Alabama",B01003_001,1656,500
0157024,"Onycha town, Alabama",B01003_001,197,99
0155440,"Notasulga town, Alabama",B01003_001,966,358
0128432,"Fruithurst town, Alabama",B01003_001,426,338
0171976,"Spanish Fort city, Alabama",B01003_001,10083,27
0126200,"Five Points town, Alabama",B01003_001,155,121
0153856,"New Brockton town, Alabama",B01003_001,1282,213
0108248,"Bon Air town, Alabama",B01003_001,58,45
0154432,"New Site town, Alabama",B01003_001,746,199
0168016,"Sanford town, Alabama",B01003_001,273,122
0133808,"Hazel Green CDP, Alabama",B01003_001,3971,632
0123176,"Edwardsville town, Alabama",B01003_001,225,118
0140672,"La Fayette city, Alabama",B01003_001,2700,32
0148400,"Midland City town, Alabama",B01003_001,1823,371
0159232,"Peterman CDP, Alabama",B01003_001,31,36
0159328,"Petrey town, Alabama",B01003_001,47,31
0183400,"Woodland town, Alabama",B01003_001,568,419
0148424,"Midway town, Alabama",B01003_001,507,223
0169240,"Semmes city, Alabama",B01003_001,5123,23
0143336,"Lipscomb city, Alabama",B01003_001,2390,673
0112496,"Castleberry town, Alabama",B01003_001,350,195
0132848,"Hamilton city, Alabama",B01003_001,6880,20
0149072,"Minor CDP, Alabama",B01003_001,965,320
0126896,"Florence city, Alabama",B01003_001,40781,50
0163288,"Rainbow City city, Alabama",B01003_001,10184,49
0133064,"Hanover CDP, Alabama",B01003_001,195,145
0177616,"Union town, Alabama",B01003_001,267,231
0101132,"Alexander City city, Alabama",B01003_001,14788,29
0182992,"Winfield city, Alabama",B01003_001,4832,212
0132656,"Haleburg town, Alabama",B01003_001,157,63
0130736,"Gordo town, Alabama",B01003_001,1874,353
0121184,"Dothan city, Alabama",B01003_001,70699,419
